# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=10
# for k=1.05614e-05 to 105.723 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ncdm[0]              6:d_ncdm[1]              7:d_ncdm[2]              8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime          
       9.961233277825e-02      -1.320864193011e-01      -1.291635722828e+03      -1.360570468490e+03      -3.632470942269e-01      -3.632470942268e-01      -3.632470942269e-01      -1.343718285589e+03       7.991644749426e-02       7.991643913354e-02       2.721140936979e+03       1.131531288816e+00       1.333373092078e-01      -1.937134874522e-07 
       1.031105113799e-01      -1.261985230689e-01      -1.320940073871e+03      -1.393090923587e+03      -3.524494756367e-01      -3.524494756368e-01      -3.524494756369e-01      -1.375591909022e+03       7.635507032253e-02       7.635506265962e-02       2.786181847175e+03       1.158377262602e+00       1.273955462522e-01      -1.853032439009e-07 
       1.066973370538e-01      -1.210047260477e-01      -1.356713783044e+03      -1.430171492822e+03      -3.254722102422e-01      -3.254722102422e-01      -3.254722102422e-01      -1.412302032253e+03       7.321070001363e-02       7.321069359275e-02       2.860342985644e+03       1.189279144546e+00       1.221488156662e-01      -1.773396081045e-07 
       1.103796029165e-01      -1.164718681977e-01      -1.399985134223e+03      -1.472698027489e+03      -3.275544919951e-01      -3.275544919952e-01      -3.275544919952e-01      -1.454752788216e+03       7.046373608782e-02       7.046372983937e-02       2.945396054979e+03       1.224997566187e+00       1.175645268946e-01      -1.699914161631e-07 
       1.141638899758e-01      -1.125087517964e-01      -1.450808359049e+03      -1.520871625255e+03      -3.026194597926e-01      -3.026194597925e-01      -3.026194597925e-01      -1.503121376859e+03       6.805979625344e-02       6.805979103571e-02       3.041743250510e+03       1.265683772024e+00       1.135521438169e-01      -1.632068008543e-07 
       1.180566274990e-01      -1.089726818710e-01      -1.508061403995e+03      -1.574042011421e+03      -3.059119272063e-01      -3.059119272067e-01      -3.059119272064e-01      -1.556687214760e+03       6.591355127669e-02       6.591354619549e-02       3.148084022843e+03       1.310735493525e+00       1.099695440226e-01      -1.569340773794e-07 
       1.220641383221e-01      -1.056840998075e-01      -1.569395863337e+03      -1.630644504653e+03      -2.865430543056e-01      -2.865430543057e-01      -2.865430543057e-01      -1.613770632748e+03       6.391749047987e-02       6.391748612844e-02       3.261289009307e+03       1.358745586538e+00       1.066376304226e-01      -1.510804456581e-07 
       1.261926729066e-01      -1.024497017465e-01      -1.631411676349e+03      -1.688298660961e+03      -2.809257642750e-01      -2.809257642750e-01      -2.809257642749e-01      -1.671843410770e+03       6.195571823533e-02       6.195571421144e-02       3.376597321922e+03       1.407593927130e+00       1.033632959570e-01      -1.455928044319e-07 
       1.304484349460e-01      -9.909241582842e-02      -1.690121184366e+03      -1.744121561295e+03      -2.779166177315e-01      -2.779166177315e-01      -2.779166177312e-01      -1.727863753117e+03       5.992193312855e-02       5.992192937739e-02       3.488243122590e+03       1.454728399517e+00       9.996938696352e-02      -1.402502910607e-07 
       1.348376006525e-01      -9.548249507035e-02      -1.741661300485e+03      -1.795234736683e+03      -2.625535704207e-01      -2.625535704205e-01      -2.625535704207e-01      -1.778812969626e+03       5.773807699538e-02       5.773807368907e-02       3.590469473366e+03       1.497614940588e+00       9.632577639693e-02      -1.349813236106e-07 
